index	representative	orbit_size	orbit_words
42	1111222333444234	16	1111222333444234,1112223334441234,1122133244312344,1211322433123444,1112223331234444,1122133212344434,1211322123443344,1112221234333444,1122112343324434,1211123432243344,1111234222333444,1112342213324434,1123421132243344,1234111222333444,1231112223334444,1211122233344434
43	1111222334233444	16	1111222334233444,1112223341324434,1122133412243344,1211324122333444,1112231223334444,1122312133244434,1213121322443344,1121213224333444,1212132143324434,1121321432243344,1213214321432434,1122133214324344,1211322143243434,1112221332434344,1122113324342434,1211132243423344
44	1111222334234344	16	1111222334234344,1112223341342434,1122133412423344,1211324123233444,1112231232334444,1122312313244434,1213123122443344,1121231224333444,1212312143324434,1123121432243344,1231214321432434,1212133214324344,1121322143243434,1213211432434234,1122113324342344,1211132243423434
45	1111222334234434	16	1111222334234434,1112223341344234,1122133412432344,1211324123323444,1112231233234444,1122312331244434,1213123212443344,1121232124333444,1212311243324434,1123112432243344,1231124321432434,1211233214324344,1112322143243434,1123211432434234,1231114223342344,1211132233423444
46	1111222334243344	16	1111222334243344,1112223341432434,1122133414223344,1211324132233444,1112231322334444,1122313213244434,1213122132443344,1121221324333444,1212113243324434,1121132432243344,1211324321432434,1112233214324344,1122331142243434,1213211422334344,1122113223343444,1211132233424434
47	1111222334243434	16	1111222334243434,1112223341434234,1122133414232344,1211324132323444,1112231323234444,1122313231244434,1213122312443344,1121223124333444,1212131243324434,1121312432243344,1213124321432434,1121233214324344,1212331142243434,1123211422334344,1231114223342434,1211132233424344
48	1111222334323444	16	1111222334323444,1112223343124434,1122133421243344,1211324212333444,1112232123334444,1122311233244434,1213112322443344,1121123224333444,1211232143324434,1112321432243344,1123214321432434,1231142213324344,1211322133243444,1112221332434434,1122113324344234,1211132243432344
49	1111222334324344	16	1111222334324344,1112223343142434,1122133421423344,1211324213233444,1112232132334444,1122311323244434,1213112232443344,1121122324333444,1211223143324434,1112231432243344,1122314321432434,1213142213324344,1121322133243444,1213211322434434,1122113224343344,1211132243432434
50	1111222334324434	16	1111222334324434,1112223343144234,1122133421432344,1211324213323444,1112232133234444,1122311322344434,1213112223443344,1121122234333444,1211221343324434,1112213432243344,1122134321432434,1211342213324344,1112322133243444,1123211322434434,1231112224343344,1211122233433444
51	1111222334342344	16	1111222334342344,1112223343412434,1122133424123344,1211324231233444,1112232312334444,1122313123244434,1213121232443344,1121212324333444,1212123143324434,1121231432243344,1212314321432434,1123142213324344,1231421132243434,1213211322434344,1122113224343434,1211132243434234
52	1111222334342434	16	1111222334342434,1112223343414234,1122133424132344,1211324231323444,1112232313234444,1122313122344434,1213121223443344,1121212234333444,1212121343324434,1121213432243344,1212134321432434,1121342213324344,1213421132243434,1123211322434344,1231112224343434,1211122233434344
53	1111222334344234	16	1111222334344234,1112223343441234,1122133424312344,1211324233123444,1112232331234444,1122313212344434,1213122123443344,1121221234333444,1212112343324434,1121123432243344,1211234321432434,1112342213324344,1123421132243434,1234111222334344,1231112223343444,1211122233434434
54	1111222334423344	16	1111222334423344,1112223344132434,1122133441223344,1211324312233444,1112233122334444,1122331213244434,1213212132443344,1122121324333444,1211213243324434,1112132432243344,1121324321432434,1213243114223344,1122331142233444,1213211422334434,1122113223344344,1211132233442434
55	1111222334423434	16	1111222334423434,1112223344134234,1122133441232344,1211324312323444,1112233123234444,1122331231244434,1213212312443344,1122123124333444,1211231243324434,1112312432243344,1123124321432434,1231243114223344,1212331142233444,1123211422334434,1231114223344234,1211132233442344
56	1111222334432344	16	1111222334432344,1112223344312434,1122133442123344,1211324321233444,1112233212334444,1122331123244434,1213211232443344,1122112324333444,1211123243324434,1111232432243344,1112324321432434,1123243114223344,1231421132233444,1213211322334444,1122113223344434,1211132233444234
