class_index	representative_index_a	representative_index_b	w_global_index_a	w_word_a	transpose_word_a	value_a	status_a	double_trident_a	warning_a	active_term_count_a	discharged_term_count_a	elapsed_sec_a	w_global_index_b	w_word_b	transpose_word_b	value_b	status_b	double_trident_b	warning_b	active_term_count_b	discharged_term_count_b	elapsed_sec_b	double_trident_profile
342	821	983	1123	1112213342342434	1231241213324344	-1	fallback_evaluated_by_x_component_coloring	no		1	5	1.887	1679	1112232134234344	1231213421432434	1	fallback_evaluated_by_x_component_coloring	no		1	5	2.663	neither
343	823	1436	1125	1112213342423344	1231241213243434	1	fallback_evaluated_by_x_component_coloring	no		1	3	0.035	4121	1121213423423344	1213241132243434	-1	fallback_evaluated_by_x_component_coloring	no		3	6	11.647	neither
344	824	842	1126	1112213342423434	1231241213243344	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.142	1151	1112213423423344	1231241132243434	-1	fallback_evaluated_by_x_component_coloring	no		3	5	8.323	neither
345	826	1311	1128	1112213342432434	1231241213234344	1	fallback_evaluated_by_x_component_coloring	no		1	3	0.025	3025	1112323423142344	1231122133424434	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	1	9	0.244	second_orientation_only
346	829	1276	1136	1112213422334344	1231241134232434	1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	3	5	0.058	2886	1112323142423434	1231122413243344	-1	fallback_evaluated_by_x_component_coloring	no		2	5	3.983	first_orientation_only
347	830	1206	1137	1112213422334434	1231241134232344	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	3	5	0.032	2375	1112312422343434	1231142134223344	1	fallback_evaluated_by_x_component_coloring	no		1	5	0.983	first_orientation_only
348	835	947	1143	1112213423243344	1231241132423434	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	5	12	2.005	1594	1112231342423434	1231214213243344	1	fallback_evaluated_by_x_component_coloring	no		1	5	1.134	first_orientation_only
349	836	937	1144	1112213423243434	1231241132423344	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	5	13	2.799	1578	1112231324423434	1231214231243344	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.144	first_orientation_only
350	838	1116	1147	1112213423324434	1231241132342344	1	fallback_evaluated_by_x_component_coloring	no		2	2	0.037	2115	1112234134223434	1231211422343344	-1	fallback_evaluated_by_x_component_coloring	no		1	5	1.033	neither
351	840	972	1149	1112213423342434	1231241132324344	1	fallback_evaluated_by_x_component_coloring	no		2	3	0.509	1641	1112231434223434	1231214122343344	-1	fallback_evaluated_by_x_component_coloring	no		1	4	0.158	neither
352	848	984	1165	1112213432342434	1231241123324344	-1	fallback_evaluated_by_x_component_coloring	no		1	4	0.404	1680	1112232134234434	1231213421432344	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.158	neither
353	854	1071	1175	1112213434232434	1231241122334344	-1	fallback_evaluated_by_x_component_coloring	no		1	4	0.202	2024	1112233414223434	1231212142343344	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.576	neither
354	858	1168	1389	1112223341243344	1231231214423434	-1	fallback_evaluated_by_x_component_coloring	no		1	4	0.449	2279	1112312234234344	1231142321432434	1	fallback_evaluated_by_x_component_coloring	no		1	6	3.573	neither
355	862	1455	1397	1112223341423344	1231231214243434	1	fallback_evaluated_by_x_component_coloring	no		2	3	0.583	4407	1121223413423344	1213231142243434	-1	fallback_evaluated_by_x_component_coloring	no		1	6	3.826	neither
356	863	880	1398	1112223341423434	1231231214243344	1	fallback_evaluated_by_x_component_coloring	no		2	4	2.286	1437	1112223413423344	1231231142243434	-1	fallback_evaluated_by_x_component_coloring	no		1	5	1.403	neither
357	864	1118	1399	1112223341432344	1231231214234434	1	fallback_evaluated_by_x_component_coloring	no		2	2	0.089	2117	1112234134232434	1231211422334344	-1	fallback_evaluated_by_x_component_coloring	no		1	6	3.652	neither
358	866	1140	1405	1112223343142344	1231231213424434	1	fallback_evaluated_by_x_component_coloring	no		1	3	0.044	2168	1112234234132344	1231211322434434	-1	fallback_evaluated_by_x_component_coloring	no		2	5	4.835	neither
359	874	994	1427	1112223413234344	1231231142432434	-1	fallback_evaluated_by_x_component_coloring	no		1	5	1.836	1711	1112232143423434	1231213412243344	1	fallback_evaluated_by_x_component_coloring	no		1	5	1.418	neither
360	876	1014	1429	1112223413243344	1231231142423434	-1	fallback_evaluated_by_x_component_coloring	no		1	4	0.440	1782	1112232341423434	1231213214243344	1	fallback_evaluated_by_x_component_coloring	no		2	5	3.911	neither
361	877	1003	1430	1112223413243434	1231231142423344	-1	fallback_evaluated_by_x_component_coloring	no		1	5	1.863	1746	1112232314423434	1231213241243344	1	fallback_evaluated_by_x_component_coloring	no		2	4	2.401	neither
362	878	1133	1432	1112223413324344	1231231142342434	1	fallback_evaluated_by_x_component_coloring	no		1	3	0.136	2152	1112234231423434	1231211324243344	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	1	10	1.568	second_orientation_only
363	879	1036	1434	1112223413342344	1231231142324434	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.192	1838	1112232431423434	1231213124243344	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	2	8	0.339	second_orientation_only
364	892	1079	1470	1112223434132344	1231231122434434	-1	fallback_evaluated_by_x_component_coloring	no		2	3	0.747	2040	1112233421423434	1231212134243344	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.142	neither
365	912	955	1527	1112231242334344	1231214314232434	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	2	7	0.071	1609	1112231423234344	1231214132432434	1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	3	7	0.364	both
366	917	1179	1533	1112231243234434	1231214312432344	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	2	7	0.062	2301	1112312243234434	1231142312432344	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.086	first_orientation_only
367	927	1124	1562	1112231323424434	1231214233142344	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.136	2135	1112234213423344	1231211342243434	-1	fallback_evaluated_by_x_component_coloring	no		1	5	1.381	neither
368	929	941	1567	1112231324234344	1231214231432434	1	fallback_evaluated_by_x_component_coloring	no		2	4	2.514	1588	1112231342324344	1231214213342434	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	3	12	5.946	second_orientation_only
369	931	1509	1569	1112231324243344	1231214231423434	-1	fallback_evaluated_by_x_component_coloring	no		1	3	0.041	5853	1121323142342434	1213122413324344	1	fallback_evaluated_by_x_component_coloring	no		2	7	9.582	neither
370	932	1271	1570	1112231324243434	1231214231423344	-1	fallback_evaluated_by_x_component_coloring	no		1	4	0.167	2880	1112323142324344	1231122413342434	1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	9	15	126.956	second_orientation_only
371	933	1465	1572	1112231324324344	1231214231342434	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	5	9	1.011	4537	1121231324234344	1213214231432434	1	fallback_evaluated_by_x_component_coloring	no		2	5	4.107	first_orientation_only
372	939	1252	1584	1112231342234434	1231214213432344	-1	fallback_evaluated_by_x_component_coloring	no		1	4	0.105	2561	1112321342234344	1231124213432434	1	fallback_evaluated_by_x_component_coloring	no		2	4	1.556	neither
373	949	1104	1596	1112231342432434	1231214213234344	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.242	2099	1112234132234344	1231211423432434	-1	fallback_evaluated_by_x_component_coloring	no		2	4	2.270	neither
374	953	1266	1606	1112231422343344	1231214134223434	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	5	9	0.779	2862	1112323124243434	1231122431423344	1	fallback_evaluated_by_x_component_coloring	no		1	5	1.107	first_orientation_only
375	954	1046	1607	1112231422343434	1231214134223344	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	3	12	6.059	1884	1112233124243434	1231212431423344	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.129	first_orientation_only
376	957	1443	1611	1112231423243344	1231214132423434	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	7	16	12.981	4272	1121223134342344	1213231421324434	1	fallback_evaluated_by_x_component_coloring	no		1	5	1.215	first_orientation_only
377	958	1175	1612	1112231423243434	1231214132423344	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	5	14	10.215	2295	1112312242334344	1231142314232434	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.177	first_orientation_only
378	961	1289	1617	1112231423342434	1231214132324344	1	fallback_evaluated_by_x_component_coloring	no		2	4	2.314	2961	1112323241423344	1231122314243434	-1	fallback_evaluated_by_x_component_coloring	no		1	4	0.254	neither
379	963	997	1619	1112231423423344	1231214132243434	-1	fallback_evaluated_by_x_component_coloring	no		3	6	11.181	1729	1112232313424344	1231213243142434	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.173	neither
380	971	1435	1640	1112231434223344	1231214122343434	-1	fallback_evaluated_by_x_component_coloring	no		1	3	0.033	4119	1121213423342434	1213241132324344	1	fallback_evaluated_by_x_component_coloring	no		2	4	2.763	neither
381	974	1287	1643	1112231434232434	1231214122334344	-1	fallback_evaluated_by_x_component_coloring	no		1	5	1.537	2956	1112323241324344	1231122314342434	1	fallback_evaluated_by_x_component_coloring	no		2	3	0.711	neither
382	980	1430	1664	1112232132434344	1231213424132434	1	fallback_evaluated_by_x_component_coloring	no		2	3	0.644	4093	1121213342342434	1213241213324344	-1	fallback_evaluated_by_x_component_coloring	no		1	6	3.141	neither
383	987	1052	1686	1112232134342344	1231213421324434	-1	fallback_evaluated_by_x_component_coloring	no		1	4	0.200	1905	1112233142342434	1231212413324344	1	fallback_evaluated_by_x_component_coloring	no		2	5	4.060	neither
384	989	1464	1695	1112232142334344	1231213414232434	-1	fallback_evaluated_by_x_component_coloring	no		2	3	0.565	4531	1121231323424344	1213214233142434	1	fallback_evaluated_by_x_component_coloring	no		2	5	4.087	neither
