index	original_representative	transpose_word	original_tableau	transpose_tableau
59	1111222342333444	1234123114234234	[[1,2,3,4],[5,6,7,10],[8,11,12,13],[9,14,15,16]]	[[1,5,8,9],[2,6,11,14],[3,7,12,15],[4,10,13,16]]
60	1111222342334344	1234123114232434	[[1,2,3,4],[5,6,7,10],[8,11,12,14],[9,13,15,16]]	[[1,5,8,9],[2,6,11,13],[3,7,12,15],[4,10,14,16]]
61	1111222342334434	1234123114232344	[[1,2,3,4],[5,6,7,10],[8,11,12,15],[9,13,14,16]]	[[1,5,8,9],[2,6,11,13],[3,7,12,14],[4,10,15,16]]
62	1111222342343344	1234123114223434	[[1,2,3,4],[5,6,7,10],[8,11,13,14],[9,12,15,16]]	[[1,5,8,9],[2,6,11,12],[3,7,13,15],[4,10,14,16]]
63	1111222342343434	1234123114223344	[[1,2,3,4],[5,6,7,10],[8,11,13,15],[9,12,14,16]]	[[1,5,8,9],[2,6,11,12],[3,7,13,14],[4,10,15,16]]
64	1111222343233444	1234123112434234	[[1,2,3,4],[5,6,7,11],[8,10,12,13],[9,14,15,16]]	[[1,5,8,9],[2,6,10,14],[3,7,12,15],[4,11,13,16]]
65	1111222343234344	1234123112432434	[[1,2,3,4],[5,6,7,11],[8,10,12,14],[9,13,15,16]]	[[1,5,8,9],[2,6,10,13],[3,7,12,15],[4,11,14,16]]
66	1111222343234434	1234123112432344	[[1,2,3,4],[5,6,7,11],[8,10,12,15],[9,13,14,16]]	[[1,5,8,9],[2,6,10,13],[3,7,12,14],[4,11,15,16]]
67	1111222343243344	1234123112423434	[[1,2,3,4],[5,6,7,11],[8,10,13,14],[9,12,15,16]]	[[1,5,8,9],[2,6,10,12],[3,7,13,15],[4,11,14,16]]
68	1111222343243434	1234123112423344	[[1,2,3,4],[5,6,7,11],[8,10,13,15],[9,12,14,16]]	[[1,5,8,9],[2,6,10,12],[3,7,13,14],[4,11,15,16]]
69	1111222343323444	1234123112344234	[[1,2,3,4],[5,6,7,12],[8,10,11,13],[9,14,15,16]]	[[1,5,8,9],[2,6,10,14],[3,7,11,15],[4,12,13,16]]
70	1111222343324344	1234123112342434	[[1,2,3,4],[5,6,7,12],[8,10,11,14],[9,13,15,16]]	[[1,5,8,9],[2,6,10,13],[3,7,11,15],[4,12,14,16]]
71	1111222343324434	1234123112342344	[[1,2,3,4],[5,6,7,12],[8,10,11,15],[9,13,14,16]]	[[1,5,8,9],[2,6,10,13],[3,7,11,14],[4,12,15,16]]
72	1111222343342344	1234123112324434	[[1,2,3,4],[5,6,7,13],[8,10,11,14],[9,12,15,16]]	[[1,5,8,9],[2,6,10,12],[3,7,11,15],[4,13,14,16]]
73	1111222343342434	1234123112324344	[[1,2,3,4],[5,6,7,13],[8,10,11,15],[9,12,14,16]]	[[1,5,8,9],[2,6,10,12],[3,7,11,14],[4,13,15,16]]
74	1111222343344234	1234123112323444	[[1,2,3,4],[5,6,7,14],[8,10,11,15],[9,12,13,16]]	[[1,5,8,9],[2,6,10,12],[3,7,11,13],[4,14,15,16]]
75	1111222343423344	1234123112243434	[[1,2,3,4],[5,6,7,12],[8,10,13,14],[9,11,15,16]]	[[1,5,8,9],[2,6,10,11],[3,7,13,15],[4,12,14,16]]
76	1111222343423434	1234123112243344	[[1,2,3,4],[5,6,7,12],[8,10,13,15],[9,11,14,16]]	[[1,5,8,9],[2,6,10,11],[3,7,13,14],[4,12,15,16]]
